source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df01_summary,df01,Face 1 (Left) is more authentic,Face 1,1.6156124471545896,23.65129137,Face 1 (Left) is more authentic,Face 1,0.3517028776608248,64.28888557,1.7289483463864488,-0.56,0,0.3216706213482592,0.7937683,-0.119606714,0.1923076923076923,0.1101096817043804,0.2
df24_summary,df24,Face 1 (Left) is more authentic,Face 1,0.2560065855165284,27.8959063,Face 1 (Left) is more authentic,Face 1,0.124552557,59.90522135,0.097739967,-0.56,0,0.3216706213482592,0.719885142,-0.054753173,0.1923076923076923,0.067482393,0.2
df23_summary,df23,Face 1 (Left) is more authentic,Face 1,0.2151100545111404,16.25666142,Face 1 (Left) is more authentic,Face 1,0.2333862230491024,57.80871164,0.2925380608337427,-0.56,0,0.3216706213482592,0.3114671918314429,-0.079913438,0.1538461538461538,0.062141897,0.2
df22_summary,df22,Face 1 (Left) is more authentic,Face 1,0.3000140645189239,18.17052581,Face 1 (Left) is more authentic,Face 1,0.2379964329019637,56.31455737,0.3676080083451009,-0.56,0,0.3216706213482592,0.4210463042290324,-0.071087945,0.1538461538461538,0.066758123,0.2
df14_summary,df14,Face 1 (Left) is more authentic,Face 1,0.3674912266895755,30.94252853,Face 1 (Left) is more authentic,Face 1,0.031157059,55.23052168,0.189132725,-0.56,0,0.3216706213482592,0.9279443325692996,-0.066787905,0.2115384615384615,0.074968692,0.2
df13_summary,df13,Face 1 (Left) is more authentic,Face 1,0.2646089610986769,28.38722471,Face 1 (Left) is more authentic,Face 1,0.066721381,55.19417827,0.1882932394156251,-0.56,0,0.3216706213482592,0.7213639808747174,-0.054624316,0.1923076923076923,0.069783196,0.2
df03_summary,df03,Face 2 (Right) is more authentic,Face 2,0.8294264841214068,7.987211057,Face 2 (Right) is more authentic,Face 2,0.015720416,54.78471351,-0.889659641,-0.56,0,0.3216706213482592,-0.239606847,-0.154297406,0.1346153846153846,0.075273428,0.2
df32_summary,df32,Face 1 (Left) is more authentic,Face 1,0.6692591814028948,22.45308293,Face 1 (Left) is more authentic,Face 1,0.148935393,54.21333427,0.7523459390242924,-0.56,0,0.3216706213482592,0.5425954274436176,-0.076437743,0.173076923,0.0794153,0.2
df06_summary,df06,Face 1 (Left) is more authentic,Face 1,0.2619350521402612,28.35606315,Face 1 (Left) is more authentic,Face 1,0.05178012,53.75933678,0.1692669087004737,-0.56,0,0.3216706213482592,0.7270630191882247,-0.054444471,0.1923076923076923,0.069450014,0.2
df41_summary,df41,Face 1 (Left) is more authentic,Face 1,0.00423867,20.74357654,Face 1 (Left) is more authentic,Face 1,0.014757752,53.29409477,0.040026153,-0.56,0,0.3216706213482592,0.3122698424889428,-0.043740502,0.1538461538461538,0.055849165,0.2
df07_summary,df07,Face 1 (Left) is more authentic,Face 1,0.4327095796611696,27.51856662,Face 1 (Left) is more authentic,Face 1,0.1143197345171475,52.82423307,0.067068301,-0.56,0,0.3216706213482592,0.9419938929163764,-0.080653733,0.2115384615384615,0.07226832,0.2
df17_summary,df17,Face 1 (Left) is more authentic,Face 1,0.3980766237673953,31.8396893,Face 1 (Left) is more authentic,Face 1,0.02999242,52.05847397,0.299244428,-0.56,0,0.3216706213482592,0.9352310765218844,-0.065556998,0.2115384615384615,0.077903653,0.2
df04_summary,df04,Face 1 (Left) is more authentic,Face 1,0.9613822551387036,16.98145664,Face 1 (Left) is more authentic,Face 1,0.007329518,51.75409582,1.0572045586060177,-0.56,0,0.3216706213482592,0.4679543065091195,-0.097711094,0.1538461538461538,0.085170737,0.2
df48_summary,df48,Face 2 (Right) is more authentic,Face 2,0.080045452,10.75956493,Face 1 (Left) is more authentic,Face 1,0.07261279,51.61341137,-0.061038572,-0.56,0,0.3216706213482592,0.210331787,-0.061533783,0.096153846,0.053826025,0.2
df08_summary,df08,Face 1 (Left) is more authentic,Face 1,0.1444849499133568,24.78051522,Face 1 (Left) is more authentic,Face 1,0.049281041,51.45751256,0.057292979,-0.56,0,0.3216706213482592,0.5320726709677651,-0.045888093,0.173076923,0.061775907,0.2
df31_summary,df31,Face 2 (Right) is more authentic,Face 2,0.053741105,12.34312571,Face 1 (Left) is more authentic,Face 1,0.0215629,51.13740498,0.069835932,-0.56,0,0.3216706213482592,0.1049176359140169,-0.082059064,0.1346153846153846,0.051410605,0.2
df20_summary,df20,Face 1 (Left) is more authentic,Face 1,0.2067047563828642,23.88753061,Face 2 (Right) is more authentic,Face 2,0.002731757,50.96310703,0.2190647300563363,-0.56,0,0.3216706213482592,0.535279717,-0.054862851,0.173076923,0.065900377,0.2
df10_summary,df10,Face 2 (Right) is more authentic,Face 2,0.2309957651916879,7.574940418,Face 2 (Right) is more authentic,Face 2,0.062208502,50.48157387,-0.294983028,-0.56,0,0.3216706213482592,0.2821654035126778,-0.107779589,0.096153846,0.061470476,0.2
