source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df51_summary,df51,Face 2 (Right) is more authentic,Face 2,0.2801,33.2949,Face 2 (Right) is more authentic,Face 2,0.0118,38.5454,-0.0475,-0.1400,0.0000,0.0483,-0.1409,0.0001,0.2115,0.0188,0.2000
df06_summary,df06,Face 1 (Left) is more authentic,Face 1,0.3844,32.1468,Face 1 (Left) is more authentic,Face 1,0.0936,60.7332,0.2964,-0.1400,0.0000,0.0483,0.1798,-0.0387,0.2308,0.0332,0.2000
df17_summary,df17,Face 1 (Left) is more authentic,Face 1,0.2174,31.5626,Face 1 (Left) is more authentic,Face 1,0.0542,54.9697,0.1357,-0.1400,0.0000,0.0483,0.1735,-0.0330,0.2308,0.0249,0.2000
df45_summary,df45,Face 2 (Right) is more authentic,Face 2,0.2576,27.8043,Face 2 (Right) is more authentic,Face 2,0.0751,42.4307,-0.0686,-0.1400,0.0000,0.0483,-0.0972,0.0138,0.1731,0.0177,0.2000
df20_summary,df20,Face 1 (Left) is more authentic,Face 1,0.1586,27.0848,Face 2 (Right) is more authentic,Face 2,0.0122,51.5318,0.0769,-0.1400,0.0000,0.0483,0.1734,-0.0517,0.2308,0.0219,0.2000
df25_summary,df25,Face 1 (Left) is more authentic,Face 1,0.1609,26.1578,Face 1 (Left) is more authentic,Face 1,0.1743,56.0931,0.1105,-0.1400,0.0000,0.0483,0.1422,-0.0374,0.2115,0.0220,0.2000
df14_summary,df14,Face 1 (Left) is more authentic,Face 1,0.1410,25.0591,Face 1 (Left) is more authentic,Face 1,0.1043,58.1494,0.0933,-0.1400,0.0000,0.0483,0.1395,-0.0421,0.2115,0.0210,0.2000
df12_summary,df12,Face 1 (Left) is more authentic,Face 1,0.1377,24.7653,Face 1 (Left) is more authentic,Face 1,0.0565,52.6586,0.0574,-0.1400,0.0000,0.0483,0.1720,-0.0628,0.2308,0.0209,0.2000
df07_summary,df07,Face 1 (Left) is more authentic,Face 1,0.1542,22.7104,Face 1 (Left) is more authentic,Face 1,0.1176,57.0219,0.1199,-0.1400,0.0000,0.0483,0.1261,-0.0365,0.1923,0.0217,0.2000
df23_summary,df23,Face 1 (Left) is more authentic,Face 1,0.1814,22.6309,Face 1 (Left) is more authentic,Face 1,0.0053,46.3488,0.1639,-0.1400,0.0000,0.0483,0.1093,-0.0383,0.1923,0.0231,0.2000
df18_summary,df18,Face 1 (Left) is more authentic,Face 1,0.1182,22.6103,Face 1 (Left) is more authentic,Face 1,0.0566,51.1970,0.0656,-0.1400,0.0000,0.0483,0.1444,-0.0545,0.2115,0.0199,0.2000
df13_summary,df13,Face 1 (Left) is more authentic,Face 1,0.1013,21.3074,Face 1 (Left) is more authentic,Face 1,0.0408,48.3362,0.0538,-0.1400,0.0000,0.0483,0.1393,-0.0613,0.2115,0.0191,0.2000
df10_summary,df10,Face 1 (Left) is more authentic,Face 1,0.1065,20.8235,Face 1 (Left) is more authentic,Face 1,0.0034,48.6190,0.0881,-0.1400,0.0000,0.0483,0.1102,-0.0452,0.1923,0.0193,0.2000
df31_summary,df31,Face 1 (Left) is more authentic,Face 1,0.1162,20.8085,Face 1 (Left) is more authentic,Face 1,0.0566,48.2903,0.0833,-0.1400,0.0000,0.0483,0.1247,-0.0458,0.1923,0.0198,0.2000
df22_summary,df22,Face 1 (Left) is more authentic,Face 1,0.1014,20.5409,Face 1 (Left) is more authentic,Face 1,0.1817,60.1861,0.0839,-0.1400,0.0000,0.0483,0.1093,-0.0467,0.1923,0.0191,0.2000
df35_summary,df35,Face 1 (Left) is more authentic,Face 1,0.0906,19.7445,Face 1 (Left) is more authentic,Face 1,0.0243,52.1026,0.0724,-0.1400,0.0000,0.0483,0.1100,-0.0511,0.1923,0.0185,0.2000
df02_summary,df02,Face 2 (Right) is more authentic,Face 2,0.2033,18.0037,Face 2 (Right) is more authentic,Face 2,0.0088,39.5965,-0.0017,-0.1400,0.0000,0.0483,-0.1098,-0.0589,0.1923,0.0150,0.2000
df01_summary,df01,Face 1 (Left) is more authentic,Face 1,0.1406,17.7768,Face 1 (Left) is more authentic,Face 1,0.2235,60.4072,0.1511,-0.1400,0.0000,0.0483,0.0813,-0.0473,0.1731,0.0210,0.2000
df05_summary,df05,Face 1 (Left) is more authentic,Face 1,0.0937,17.6715,Face 1 (Left) is more authentic,Face 1,0.0298,61.4652,0.0117,-0.1400,0.0000,0.0483,0.1737,-0.1033,0.2308,0.0187,0.2000
df32_summary,df32,Face 1 (Left) is more authentic,Face 1,0.0892,17.2501,Face 1 (Left) is more authentic,Face 1,0.0542,50.2730,0.0856,-0.1400,0.0000,0.0483,0.0954,-0.0483,0.1731,0.0185,0.2000
df04_summary,df04,Face 1 (Left) is more authentic,Face 1,0.0887,17.1455,Face 1 (Left) is more authentic,Face 1,0.0082,42.8684,0.0995,-0.1400,0.0000,0.0483,0.0810,-0.0490,0.1731,0.0184,0.2000
df27_summary,df27,Face 1 (Left) is more authentic,Face 1,0.0656,16.1599,Face 1 (Left) is more authentic,Face 1,0.0595,53.3770,0.0785,-0.1400,0.0000,0.0483,0.0788,-0.0550,0.1731,0.0173,0.2000
df28_summary,df28,Face 1 (Left) is more authentic,Face 1,0.0519,15.3503,Face 1 (Left) is more authentic,Face 1,0.0048,52.5964,0.0650,-0.1400,0.0000,0.0483,0.0786,-0.0604,0.1731,0.0166,0.2000
df26_summary,df26,Face 1 (Left) is more authentic,Face 1,0.0568,14.7821,Face 1 (Left) is more authentic,Face 1,0.2095,55.5962,0.0082,-0.1400,0.0000,0.0483,0.1404,-0.1036,0.2115,0.0168,0.2000
df40_summary,df40,Face 1 (Left) is more authentic,Face 1,0.0742,13.7539,Face 1 (Left) is more authentic,Face 1,0.1152,54.3039,0.0998,-0.1400,0.0000,0.0483,0.0661,-0.0551,0.1538,0.0177,0.2000
df37_summary,df37,Face 2 (Right) is more authentic,Face 2,0.2166,13.5347,Face 2 (Right) is more authentic,Face 2,0.0978,38.3850,-0.1084,-0.1400,0.0000,0.0483,-0.0165,-0.0357,0.1346,0.0157,0.2000
df24_summary,df24,Face 1 (Left) is more authentic,Face 1,0.0335,12.8541,Face 1 (Left) is more authentic,Face 1,0.0476,59.1254,0.0309,-0.1400,0.0000,0.0483,0.0943,-0.0801,0.1731,0.0157,0.2000
df30_summary,df30,Face 1 (Left) is more authentic,Face 1,0.0292,11.8578,Face 1 (Left) is more authentic,Face 1,0.0509,49.9540,0.0598,-0.1400,0.0000,0.0483,0.0611,-0.0699,0.1538,0.0155,0.2000
df11_summary,df11,Face 1 (Left) is more authentic,Face 1,0.0239,11.7913,Face 1 (Left) is more authentic,Face 1,0.1606,46.5046,0.0215,-0.1400,0.0000,0.0483,0.0942,-0.0895,0.1731,0.0152,0.2000
df16_summary,df16,Face 2 (Right) is more authentic,Face 2,0.0011,10.3161,Face 1 (Left) is more authentic,Face 1,0.0040,46.1856,0.0131,-0.1400,0.0000,0.0483,0.0775,-0.1033,0.1731,0.0139,0.2000
df42_summary,df42,Face 1 (Left) is more authentic,Face 1,0.0016,9.7434,Face 1 (Left) is more authentic,Face 1,0.0401,50.9587,0.0295,-0.1400,0.0000,0.0483,0.0639,-0.0905,0.1538,0.0141,0.2000
df33_summary,df33,Face 1 (Left) is more authentic,Face 1,0.0070,9.5213,Face 2 (Right) is more authentic,Face 2,0.0122,34.3183,0.0217,-0.1400,0.0000,0.0483,0.0770,-0.0934,0.1538,0.0143,0.2000
df34_summary,df34,Face 2 (Right) is more authentic,Face 2,0.0070,9.5001,Face 1 (Left) is more authentic,Face 1,0.0152,51.2430,0.0371,-0.1400,0.0000,0.0483,0.0476,-0.0929,0.1538,0.0136,0.2000
df41_summary,df41,Face 1 (Left) is more authentic,Face 1,0.0325,8.2806,Face 1 (Left) is more authentic,Face 1,0.1346,53.7549,0.1051,-0.1400,0.0000,0.0483,0.0191,-0.0907,0.1346,0.0156,0.2000
df03_summary,df03,Face 1 (Left) is more authentic,Face 1,0.0553,8.0763,Face 1 (Left) is more authentic,Face 1,0.0750,52.5574,0.1317,-0.1400,0.0000,0.0483,0.0153,-0.0946,0.1346,0.0168,0.2000
df09_summary,df09,Face 2 (Right) is more authentic,Face 2,0.0236,6.9697,Face 1 (Left) is more authentic,Face 1,0.1406,50.7695,0.0362,-0.1400,0.0000,0.0483,0.0319,-0.1066,0.1346,0.0128,0.2000
df08_summary,df08,Face 2 (Right) is more authentic,Face 2,0.0743,6.8480,Face 1 (Left) is more authentic,Face 1,0.0757,48.6798,0.0616,-0.1400,0.0000,0.0483,-0.0442,-0.0719,0.0962,0.0147,0.2000
df43_summary,df43,Face 2 (Right) is more authentic,Face 2,0.1317,6.7715,Face 2 (Right) is more authentic,Face 2,0.0183,47.8849,-0.0244,-0.1400,0.0000,0.0483,-0.0156,-0.1083,0.1346,0.0114,0.2000
df38_summary,df38,Face 2 (Right) is more authentic,Face 2,0.1353,6.7501,Face 1 (Left) is more authentic,Face 1,0.0172,48.2719,0.0367,-0.1400,0.0000,0.0483,-0.0803,-0.0548,0.0769,0.0153,0.2000
df48_summary,df48,Face 2 (Right) is more authentic,Face 2,0.0381,6.7497,Face 1 (Left) is more authentic,Face 1,0.0744,53.2615,0.0069,-0.1400,0.0000,0.0483,0.0468,-0.1285,0.1538,0.0121,0.2000
df50_summary,df50,Face 2 (Right) is more authentic,Face 2,0.1266,5.9746,Face 2 (Right) is more authentic,Face 2,0.0105,40.7514,-0.0051,-0.1400,0.0000,0.0483,-0.0297,-0.1214,0.1346,0.0112,0.2000
df36_summary,df36,Face 2 (Right) is more authentic,Face 2,0.1325,5.4266,Face 1 (Left) is more authentic,Face 1,0.0005,49.8561,-0.0378,-0.1400,0.0000,0.0483,-0.0030,-0.1126,0.1154,0.0115,0.2000
df21_summary,df21,Face 2 (Right) is more authentic,Face 2,0.0506,5.1884,Face 1 (Left) is more authentic,Face 1,0.0157,49.9753,0.0245,-0.1400,0.0000,0.0483,0.0166,-0.1366,0.1346,0.0115,0.2000
df39_summary,df39,Face 2 (Right) is more authentic,Face 2,0.2030,4.8143,Face 1 (Left) is more authentic,Face 1,0.0360,43.3303,0.0123,-0.1400,0.0000,0.0483,-0.1235,-0.0531,0.0385,0.0162,0.2000
df15_summary,df15,Face 2 (Right) is more authentic,Face 2,0.0592,4.4569,Face 1 (Left) is more authentic,Face 1,0.0174,47.3121,0.0022,-0.1400,0.0000,0.0483,0.0304,-0.1522,0.1346,0.0110,0.2000
df19_summary,df19,Face 2 (Right) is more authentic,Face 2,0.0439,3.9190,Face 2 (Right) is more authentic,Face 2,0.0657,45.0543,-0.0121,-0.1400,0.0000,0.0483,0.0599,-0.1099,0.0769,0.0130,0.2000
df46_summary,df46,Face 2 (Right) is more authentic,Face 2,0.0469,3.6715,Face 1 (Left) is more authentic,Face 1,0.0343,44.9891,-0.0022,-0.1400,0.0000,0.0483,0.0471,-0.1348,0.0962,0.0119,0.2000
df29_summary,df29,Face 2 (Right) is more authentic,Face 2,0.1020,3.4667,Face 2 (Right) is more authentic,Face 2,0.1583,39.0317,0.0044,-0.1400,0.0000,0.0483,-0.0147,-0.1584,0.1154,0.0104,0.2000
df44_summary,df44,Face 2 (Right) is more authentic,Face 2,0.0100,0.2485,Face 2 (Right) is more authentic,Face 2,0.0000,0.0000,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.3000,0.0000,0.0005,0.2000
df49_summary,df49,Face 2 (Right) is more authentic,Face 2,0.0100,0.2485,Face 2 (Right) is more authentic,Face 2,0.0000,0.0000,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.3000,0.0000,0.0005,0.2000
