source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df45_summary,df45,Face 2 (Right) is more authentic,Face 2,0.4347,42.9448,Face 2 (Right) is more authentic,Face 2,0.2328,43.5678,-0.1997,-0.1400,0.0000,0.0483,-0.1432,0.0335,0.2115,0.0266,0.2000
df42_summary,df42,Face 2 (Right) is more authentic,Face 2,0.3373,41.1351,Face 1 (Left) is more authentic,Face 1,0.1148,39.9135,-0.1009,-0.1400,0.0000,0.0483,-0.1446,0.0309,0.2115,0.0217,0.2000
df38_summary,df38,Face 2 (Right) is more authentic,Face 2,0.6477,24.7421,Face 2 (Right) is more authentic,Face 2,0.0650,49.8033,-0.4366,-0.1400,0.0000,0.0483,-0.1193,-0.0408,0.1923,0.0372,0.2000
df17_summary,df17,Face 1 (Left) is more authentic,Face 1,0.1233,23.5417,Face 1 (Left) is more authentic,Face 1,0.0300,52.0585,0.0748,-0.1400,0.0000,0.0483,0.1403,-0.0495,0.2115,0.0202,0.2000
df14_summary,df14,Face 1 (Left) is more authentic,Face 1,0.0947,20.5090,Face 1 (Left) is more authentic,Face 1,0.0312,55.2305,0.0473,-0.1400,0.0000,0.0483,0.1392,-0.0658,0.2115,0.0187,0.2000
df51_summary,df51,Face 2 (Right) is more authentic,Face 2,0.2011,20.0785,Face 2 (Right) is more authentic,Face 2,0.0382,29.1032,-0.0311,-0.1400,0.0000,0.0483,-0.0783,-0.0261,0.1731,0.0149,0.2000
df18_summary,df18,Face 1 (Left) is more authentic,Face 1,0.0880,19.3059,Face 1 (Left) is more authentic,Face 1,0.0270,47.3560,0.0383,-0.1400,0.0000,0.0483,0.1415,-0.0730,0.2115,0.0184,0.2000
df32_summary,df32,Face 1 (Left) is more authentic,Face 1,0.1286,17.7944,Face 1 (Left) is more authentic,Face 1,0.1489,54.2133,0.1390,-0.1400,0.0000,0.0483,0.0814,-0.0465,0.1731,0.0204,0.2000
df13_summary,df13,Face 1 (Left) is more authentic,Face 1,0.0635,17.3540,Face 1 (Left) is more authentic,Face 1,0.0667,55.1942,0.0471,-0.1400,0.0000,0.0483,0.1082,-0.0656,0.1923,0.0172,0.2000
df01_summary,df01,Face 1 (Left) is more authentic,Face 1,0.4596,17.3229,Face 1 (Left) is more authentic,Face 1,0.3517,64.2889,0.4322,-0.1400,0.0000,0.0483,0.1191,-0.0856,0.1923,0.0370,0.2000
df05_summary,df05,Face 1 (Left) is more authentic,Face 1,0.0817,16.8804,Face 1 (Left) is more authentic,Face 1,0.0094,48.7114,0.0936,-0.1400,0.0000,0.0483,0.0799,-0.0506,0.1731,0.0181,0.2000
df06_summary,df06,Face 1 (Left) is more authentic,Face 1,0.0596,16.8384,Face 1 (Left) is more authentic,Face 1,0.0518,53.7593,0.0423,-0.1400,0.0000,0.0483,0.1091,-0.0690,0.1923,0.0170,0.2000
df07_summary,df07,Face 1 (Left) is more authentic,Face 1,0.0663,16.1420,Face 1 (Left) is more authentic,Face 1,0.1143,52.8242,0.0168,-0.1400,0.0000,0.0483,0.1413,-0.0936,0.2115,0.0173,0.2000
df03_summary,df03,Face 2 (Right) is more authentic,Face 2,0.3501,15.0935,Face 2 (Right) is more authentic,Face 2,0.0157,54.7847,-0.2224,-0.1400,0.0000,0.0483,-0.0359,-0.0297,0.1346,0.0223,0.2000
df20_summary,df20,Face 1 (Left) is more authentic,Face 1,0.0433,14.6704,Face 2 (Right) is more authentic,Face 2,0.0027,50.9631,0.0548,-0.1400,0.0000,0.0483,0.0803,-0.0653,0.1731,0.0162,0.2000
df24_summary,df24,Face 1 (Left) is more authentic,Face 1,0.0407,14.6079,Face 1 (Left) is more authentic,Face 1,0.1246,59.9052,0.0244,-0.1400,0.0000,0.0483,0.1080,-0.0849,0.1923,0.0160,0.2000
df27_summary,df27,Face 1 (Left) is more authentic,Face 1,0.0584,14.2232,Face 2 (Right) is more authentic,Face 2,0.0349,48.1225,0.0415,-0.1400,0.0000,0.0483,0.1087,-0.0697,0.1731,0.0169,0.2000
df40_summary,df40,Face 1 (Left) is more authentic,Face 1,0.0437,13.9608,Face 1 (Left) is more authentic,Face 1,0.0101,49.0043,0.0417,-0.1400,0.0000,0.0483,0.0937,-0.0711,0.1731,0.0162,0.2000
df12_summary,df12,Face 1 (Left) is more authentic,Face 1,0.0479,13.6164,Face 1 (Left) is more authentic,Face 1,0.0130,46.9512,0.0161,-0.1400,0.0000,0.0483,0.1235,-0.0935,0.1923,0.0164,0.2000
df22_summary,df22,Face 1 (Left) is more authentic,Face 1,0.0633,13.3597,Face 1 (Left) is more authentic,Face 1,0.2380,56.3146,0.0919,-0.1400,0.0000,0.0483,0.0632,-0.0580,0.1538,0.0172,0.2000
df11_summary,df11,Face 1 (Left) is more authentic,Face 1,0.0364,13.1884,Face 1 (Left) is more authentic,Face 1,0.0323,48.4765,0.0341,-0.1400,0.0000,0.0483,0.0941,-0.0773,0.1731,0.0158,0.2000
df04_summary,df04,Face 1 (Left) is more authentic,Face 1,0.2427,12.5664,Face 1 (Left) is more authentic,Face 1,0.0073,51.7541,0.2643,-0.1400,0.0000,0.0483,0.0702,-0.0740,0.1538,0.0261,0.2000
df36_summary,df36,Face 2 (Right) is more authentic,Face 2,0.1683,12.4021,Face 2 (Right) is more authentic,Face 2,0.0323,40.1498,-0.0129,-0.1400,0.0000,0.0483,-0.0637,-0.0626,0.1538,0.0132,0.2000
