source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df01_summary,df01,Face 1 (Left) is more authentic,Face 1,1.364171621,5.80431714,Face 1 (Left) is more authentic,Face 1,0.351702878,64.28888557,1.29671126,-0.028,0,0.016083531,0.07937683,-0.241993511,0.192307692,0.071008581,0.2
df24_summary,df24,Face 1 (Left) is more authentic,Face 1,0.13337702,23.89258337,Face 1 (Left) is more authentic,Face 1,0.124552557,59.90522135,0.073304975,-0.028,0,0.016083531,0.071988514,-0.017634306,0.192307692,0.009468851,0.2
df43_summary,df43,Face 1 (Left) is more authentic,Face 1,0.265139669,5.127243544,Face 1 (Left) is more authentic,Face 1,0.053605777,58.67224681,0.246903636,-0.028,0,0.016083531,0.030152502,-0.161699977,0.153846154,0.016056983,0.2
df23_summary,df23,Face 1 (Left) is more authentic,Face 1,0.238633796,5.749958546,Face 1 (Left) is more authentic,Face 1,0.233386223,57.80871164,0.219403546,-0.028,0,0.016083531,0.031146719,-0.148253706,0.153846154,0.01473169,0.2
df22_summary,df22,Face 1 (Left) is more authentic,Face 1,0.305894168,5.596663244,Face 1 (Left) is more authentic,Face 1,0.237996433,56.31455737,0.275706006,-0.028,0,0.016083531,0.04210463,-0.154481447,0.153846154,0.018094708,0.2
df14_summary,df14,Face 1 (Left) is more authentic,Face 1,0.222727508,24.29882662,Face 1 (Left) is more authentic,Face 1,0.031157059,55.23052168,0.141849544,-0.028,0,0.016083531,0.092794433,-0.039111397,0.211538462,0.013936375,0.2
df13_summary,df13,Face 1 (Left) is more authentic,Face 1,0.201439859,18.9797809,Face 1 (Left) is more authentic,Face 1,0.066721381,55.19417827,0.14121993,-0.028,0,0.016083531,0.072136398,-0.050312134,0.192307692,0.012871993,0.2
df03_summary,df03,Face 2 (Right) is more authentic,Face 2,0.703121884,2.489712926,Face 2 (Right) is more authentic,Face 2,0.015720416,54.78471351,-0.66724473,-0.028,0,0.016083531,-0.023960685,-0.238158879,0.134615385,0.036764447,0.2
df32_summary,df32,Face 1 (Left) is more authentic,Face 1,0.606602528,4.798935943,Face 1 (Left) is more authentic,Face 1,0.148935393,54.21333427,0.564259454,-0.028,0,0.016083531,0.054259543,-0.20496674,0.173076923,0.033130126,0.2
df06_summary,df06,Face 1 (Left) is more authentic,Face 1,0.187740015,20.26211974,Face 1 (Left) is more authentic,Face 1,0.05178012,53.75933678,0.126950182,-0.028,0,0.016083531,0.072706302,-0.041493857,0.192307692,0.012187001,0.2
df41_summary,df41,Face 1 (Left) is more authentic,Face 1,0.04933013,17.51117409,Face 1 (Left) is more authentic,Face 1,0.014757752,53.29409477,0.030019615,-0.028,0,0.016083531,0.031226984,-0.014095025,0.153846154,0.005266507,0.2
df07_summary,df07,Face 1 (Left) is more authentic,Face 1,0.132584146,24.01409948,Face 1 (Left) is more authentic,Face 1,0.114319735,52.82423307,0.050301225,-0.028,0,0.016083531,0.094199389,-0.036158336,0.211538462,0.009429207,0.2
df17_summary,df17,Face 1 (Left) is more authentic,Face 1,0.30603996,18.61959341,Face 1 (Left) is more authentic,Face 1,0.02999242,52.05847397,0.224433321,-0.028,0,0.016083531,0.093523108,-0.07713247,0.211538462,0.018101998,0.2
df04_summary,df04,Face 1 (Left) is more authentic,Face 1,0.827782381,3.35921771,Face 1 (Left) is more authentic,Face 1,0.007329518,51.75409582,0.792903419,-0.028,0,0.016083531,0.046795431,-0.233964544,0.153846154,0.044189119,0.2
df48_summary,df48,Face 2 (Right) is more authentic,Face 2,0.036662219,7.840228421,Face 1 (Left) is more authentic,Face 1,0.07261279,51.61341137,-0.045778929,-0.028,0,0.016083531,0.021033179,-0.048124203,0.096153846,0.005544782,0.2
df08_summary,df08,Face 1 (Left) is more authentic,Face 1,0.084260533,20.82751991,Face 1 (Left) is more authentic,Face 1,0.049281041,51.45751256,0.042969735,-0.028,0,0.016083531,0.053207267,-0.013625308,0.173076923,0.007013027,0.2
df31_summary,df31,Face 1 (Left) is more authentic,Face 1,0.050952244,9.576691385,Face 1 (Left) is more authentic,Face 1,0.0215629,51.13740498,0.052376949,-0.028,0,0.016083531,0.010491764,-0.064479988,0.134615385,0.005347612,0.2
